,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
422,Joselu Friaza,20,"Feb 15, 2002",Spain,ELCHE,,Right Winger,,1,0,0,25,0,0,1.92,-,-,/joselu-friaza/profil/spieler/900166
423,Lucas Boyé,26,"Feb 28, 1996",Argentina,ELCHE,,Centre-Forward,15.0,24,7,3,1724,0,0,1.83,"Jul 1, 2021","Jun 30, 2024",/lucas-boye/profil/spieler/334222
428,Diego Bri,19,"Sep 12, 2002",Spain,ELCHE,,Centre-Forward,,1,0,0,13,0,0,-,-,"Jun 30, 2026",/diego-bri/profil/spieler/720532
429,Cheikh Diamanka,21,"Jan 20, 2001",Senegal,ELCHE,,Centre-Forward,,-,0,0,0,0,0,-,-,"Jun 30, 2023",/cheikh-diamanka/profil/spieler/887054
432,Gaizka Campos,25,"May 16, 1997",Spain,CELTA,,Goalkeeper,0.15,32,0,0,2880,39,8,1.9,-,"Jun 30, 2023",/gaizka-campos/profil/spieler/448835
433,Coke Carrillo,20,"Jan 7, 2002 ",Spain,CELTA,,Goalkeeper,0.1,-,0,0,0,0,0,1.88,-,"Jun 30, 2027",/coke-carrillo/profil/spieler/581640
434,César Fernández,17,"Sep 28, 2004",Spain,CELTA,,Goalkeeper,,-,0,0,0,0,0,1.81,-,"Jun 30, 2023",/cesar-fernandez/profil/spieler/646741
435,Joseph Aidoo,26,"Sep 29, 1995",Ghana,CELTA,,Centre-Back,7.0,32,0,0,2640,0,0,1.77,"Jul 11, 2019","Jun 30, 2026",/joseph-aidoo/profil/spieler/358250
439,Carlos Domínguez,21,"Feb 11, 2001",Spain,CELTA,,Centre-Back,1.0,29,0,0,2158,0,0,1.87,-,"Jun 30, 2026",/carlos-dominguez/profil/spieler/636093
440,Javi Castro,21,"Sep 13, 2000",Spain,CELTA,,Centre-Back,0.2,35,1,1,3100,0,0,1.83,-,"Jun 30, 2023",/javi-castro/profil/spieler/740253
441,Javi Galán,27,"Nov 19, 1994",Spain,CELTA,,Left-Back,12.0,39,0,3,3378,0,0,1.72,"Jul 31, 2021","Jun 30, 2026",/javi-galan/profil/spieler/448628
442,Fernando Medrano,22,"Mar 26, 2000",Spain,CELTA,,Left-Back,0.15,31,0,1,1306,0,0,1.72,-,"Jun 30, 2026",/fernando-medrano/profil/spieler/461619
443,Hugo Mallo,31,"Jun 22, 1991",Spain,CELTA,,Right-Back,4.0,23,1,1,1979,0,0,1.74,"Jul 1, 2009","Jun 30, 2023",/hugo-mallo/profil/spieler/119905
444,Kevin Vázquez,29,"Mar 23, 1993",Spain,CELTA,,Right-Back,2.0,19,0,1,1380,0,0,1.75,"Jul 1, 2018","Jun 30, 2023",/kevin-vazquez/profil/spieler/221315
445,Thomas Carrique,23,"Feb 26, 1999",France,CELTA,,Right-Back,0.4,31,1,1,1835,0,0,1.73,-,"Jun 30, 2026",/thomas-carrique/profil/spieler/540676
446,Renato Tapia,26,"Jul 28, 1995",Peru,CELTA,,Defensive Midfield,10.0,32,0,1,1582,0,0,1.85,"Aug 4, 2020","Jun 30, 2024",/renato-tapia/profil/spieler/277137
448,Fran Beltrán,23,"Feb 3, 1999 ",Spain,CELTA,,Central Midfield,15.0,39,1,0,2723,0,0,1.65,"Aug 1, 2018","Jun 30, 2026",/fran-beltran/profil/spieler/423444
450,Damián Rodríguez,19,"Mar 17, 2003",Spain,CELTA,,Central Midfield,,-,0,0,0,0,0,-,-,"Jun 30, 2023",/damian-rodriguez/profil/spieler/715628
451,Hugo Sotelo,18,"Dec 19, 2003",Spain,CELTA,,Central Midfield,,1,0,0,1,0,0,1.8,-,"Jun 30, 2023",/hugo-sotelo/profil/spieler/892221
453,Denis Suárez,28,"Jan 6, 1994 ",Spain,CELTA,,Attacking Midfield,10.0,40,4,6,3044,0,0,1.76,"Jul 1, 2019","Jun 30, 2023",/denis-suarez/profil/spieler/165007
454,Gabri Veiga,20,"May 27, 2002",Spain,CELTA,,Attacking Midfield,1.5,41,9,1,2364,0,0,1.84,"Jul 1, 2022","Jun 30, 2026",/gabri-veiga/profil/spieler/699704
456,Franco Cervi,28,"May 26, 1994",Argentina,CELTA,,Left Winger,5.0,36,6,5,2005,0,0,1.66,"Jul 5, 2021","Jun 30, 2024",/franco-cervi/profil/spieler/341110
459,Hugo Álvarez,18,"Jul 2, 2003 ",Spain,CELTA,,Left Winger,,2,0,0,55,0,0,1.76,-,"Jun 30, 2025",/hugo-alvarez/profil/spieler/892929
460,Augusto Solari,30,"Jan 3, 1992 ",Argentina,CELTA,,Right Winger,2.5,27,1,0,786,0,0,1.76,"Jan 23, 2021","Jun 30, 2023",/augusto-solari/profil/spieler/282694
461,Iago Aspas,34,"Aug 1, 1987 ",Spain,CELTA,,Centre-Forward,7.0,38,18,6,3118,0,0,1.76,"Jul 7, 2015","Jun 30, 2025",/iago-aspas/profil/spieler/72047
465,Joan García,21,"May 4, 2001 ",Spain,ESPANYOL,,Goalkeeper,0.4,4,0,0,287,6,0,1.91,"Jul 1, 2021","Jun 30, 2025",/joan-garcia/profil/spieler/561613
467,Leandro Cabrera,31,"Jun 17, 1991",Uruguay,ESPANYOL,,Centre-Back,4.0,40,2,0,3630,0,0,1.9,"Jan 20, 2020","Jun 30, 2024",/leandro-cabrera/profil/spieler/102423
468,Sergi Gómez,30,"Mar 28, 1992",Spain,ESPANYOL,,Centre-Back,3.0,35,2,2,2985,0,0,1.85,"Jul 28, 2021","Jun 30, 2024",/sergi-gomez/profil/spieler/92947
470,Fernando Calero,26,"Sep 14, 1995",Spain,ESPANYOL,,Centre-Back,1.8,18,0,0,1264,0,0,1.84,"Aug 9, 2019","Jun 30, 2024",/fernando-calero/profil/spieler/357884
471,Álvaro García,22,"Jun 1, 2000 ",Spain,ESPANYOL,,Centre-Back,0.2,27,1,0,2279,0,0,1.84,-,"Jun 30, 2023",/alvaro-garcia/profil/spieler/495600
472,Lluís Recasens,20,"Feb 19, 2002",Spain,ESPANYOL,,Centre-Back,0.15,13,0,0,698,0,0,1.83,-,"Jun 30, 2023",/lluis-recasens/profil/spieler/705810
