,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
101,Iñigo Vicente,24,"Jan 6, 1998 ",Spain,ATHLETIC BILBAO,out,Left Winger,1.5,38,6,5,2280,0,0,1.78,/inigo-vicente/profil/spieler/335216,"Jul 1, 2019","Jun 30, 2023"
102,Peru Nolaskoain,23,"Oct 25, 1998",Spain,ATHLETIC BILBAO,out,Defensive Midfield,1.0,20,1,0,1508,0,0,1.86,/peru-nolaskoain/profil/spieler/447052,"Jul 1, 2019","Jun 30, 2023"
103,Nico Serrano,19,"Mar 5, 2003 ",Spain,ATHLETIC BILBAO,out,Left Winger,2.5,33,4,2,1477,0,0,1.76,/nico-serrano/profil/spieler/668183,"Jul 1, 2022","Jun 30, 2023"
104,Álex Petxa,25,"Feb 6, 1997 ",Spain,ATHLETIC BILBAO,out,Right-Back,0.6,19,0,0,488,0,0,1.8,/alex-petxa/profil/spieler/527838,"Jul 1, 2021","Jun 30, 2023"
105,Juan Artola,22,"Apr 7, 2000 ",Spain,ATHLETIC BILBAO,out,Right Winger,0.7,37,6,1,2560,0,0,1.77,/juan-artola/profil/spieler/626960,"Jul 1, 2022","Jun 30, 2023"
106,Unai Núñez,25,"Jan 30, 1997",Spain,ATHLETIC BILBAO,out,Centre-Back,6.0,9,0,0,620,0,0,1.86,/unai-nunez/profil/spieler/338285,"Jul 1, 2017","Jun 30, 2023"
107,Beñat Prados,21,"Feb 8, 2001 ",Spain,ATHLETIC BILBAO,out,Central Midfield,0.5,33,3,0,2714,0,0,1.8,/benat-prados/profil/spieler/625047,"Jul 1, 2022","Jun 30, 2025"
108,Imanol García de Albéniz,22,"Jun 8, 2000 ",Spain,ATHLETIC BILBAO,out,Left-Back,1.2,34,2,5,3009,0,0,1.77,/imanol-garcia-de-albeniz/profil/spieler/626954,"Jul 1, 2021","Jun 30, 2025"
109,Gonçalo Guedes,25,"Nov 29, 1996",Portugal,VALENCIA,32.6,Second Striker,28.0,42,13,6,3092,0,0,1.79,/goncalo-guedes/profil/spieler/225122,"Aug 27, 2018","Jun 30, 2023"
110,Carlos Soler,25,"Jan 2, 1997 ",Spain,VALENCIA,18.0,Central Midfield,35.0,38,12,5,2948,0,0,1.8,/carlos-soler/profil/spieler/372246,"Jan 1, 2017","Jun 30, 2027"
111,Maxi Gómez,26,"Aug 14, 1996",Uruguay,VALENCIA,3.0,Centre-Forward,7.5,32,5,2,2039,0,0,1.86,/maxi-gomez/profil/spieler/396894,"Jul 14, 2019","Jun 30, 2025"
112,Jasper Cillessen,33,"Apr 22, 1989",Netherlands,VALENCIA,1.0,Goalkeeper,3.0,17,0,0,1458,29,3,1.87,/jasper-cillessen/profil/spieler/146227,"Jul 1, 2019","Jun 30, 2025"
113,Denis Cheryshev,31,"Dec 26, 1990",Russia,VALENCIA,out,Left Winger,1.5,20,1,2,771,0,0,1.79,/denis-cheryshev/profil/spieler/98322,"Jul 1, 2019","Jun 30, 2024"
114,Manu Vallejo,25,"Feb 14, 1997",Spain,VALENCIA,out,Left Winger,3.0,22,2,1,497,0,0,1.67,/manu-vallejo/profil/spieler/527350,"Jul 1, 2019","Jun 30, 2023"
115,Koba Koindredi,20,"Oct 27, 2001",Neukaledonien,VALENCIA,out,Central Midfield,1.0,13,1,0,376,0,0,1.84,/koba-koindredi/profil/spieler/569375,"Jan 31, 2022","Jun 30, 2023"
116,Jorge Sáenz,25,"Nov 17, 1996",Spain,VALENCIA,out,Centre-Back,0.8,22,0,0,1860,0,0,1.88,/jorge-saenz/profil/spieler/340339,"Jul 1, 2019","Jun 30, 2024"
117,Uroš Račić,24,"Mar 17, 1998",Serbia,VALENCIA,out,Defensive Midfield,6.5,34,0,1,1431,0,0,1.93,/uro-scaron-ra%C4%8Di%C4%87/profil/spieler/417575,"Jul 1, 2018","Jun 30, 2023"
124,Oier Sanjurjo,36,"May 25, 1986",Spain,OSASUNA,out,Defensive Midfield,0.4,28,1,0,915,0,0,1.78,/oier-sanjurjo/profil/spieler/63040,"Dec 1, 2007","May 31, 2023"
125,Marc Cardona,26,"Jul 8, 1995 ",Spain,OSASUNA,out,Centre-Forward,1.0,25,2,2,885,0,0,1.82,/marc-cardona/profil/spieler/443222,"Jul 1, 2019","Jun 30, 2023"
126,Jonás Ramalho,29,"Jun 10, 1993",Angola,OSASUNA,out,Centre-Back,0.6,6,0,0,500,0,0,1.85,/jonas-ramalho/profil/spieler/69660,"Jul 5, 2021","Jun 30, 2024"
127,Cote,32,"Sep 5, 1989 ",Spain,OSASUNA,out,Left-Back,1.5,25,1,2,1213,0,0,1.82,/cote/profil/spieler/87469,"Jul 5, 2021","Jun 30, 2024"
128,Rober Ibáñez,29,"Mar 22, 1993",Spain,OSASUNA,out,Right Winger,0.5,21,1,1,835,0,0,1.75,/rober-ibanez/profil/spieler/242532,"Aug 12, 2019","Jun 30, 2024"
129,Jesús Areso,23,"Jul 2, 1999 ",Spain,OSASUNA,out,Right-Back,0.8,4,0,0,278,0,0,1.82,/jesus-areso/profil/spieler/488626,"Jul 1, 2021","Jun 30, 2023"
130,Iván Barbero,24,"Aug 17, 1998",Spain,OSASUNA,out,Centre-Forward,0.5,7,1,0,88,0,0,1.86,/ivan-barbero/profil/spieler/514514,"Jan 29, 2020","Jun 30, 2023"
131,Iñigo Pérez,34,"Jan 18, 1988",Spain,OSASUNA,out,Central Midfield,,12,1,0,493,0,0,1.78,/inigo-perez/profil/spieler/71579,"Jul 2, 2018",-
132,Javi Martínez,22,"Dec 22, 1999",Spain,OSASUNA,out,Attacking Midfield,1.0,29,1,2,1114,0,0,1.81,/javi-martinez/profil/spieler/471474,"Jul 1, 2021","Jun 30, 2023"
134,Johan Mojica,30,"Aug 21, 1992",Colombia,ELCHE,5.5,Left-Back,5.0,34,2,5,2978,0,0,1.85,/johan-mojica/profil/spieler/262939,"Aug 8, 2021","Jun 30, 2026"
135,Guido Carrillo,31,"May 25, 1991",Argentina,ELCHE,out,Centre-Forward,1.0,45,6,1,2218,0,0,1.91,/guido-carrillo/profil/spieler/184672,"Oct 5, 2020","Dec 31, 2024"
136,Josema,26,"Jun 6, 1996 ",Spain,ELCHE,out,Centre-Back,0.8,13,0,0,635,0,0,1.84,/josema/profil/spieler/255892,"Jan 31, 2020","Jun 30, 2024"
137,Manu Justo,26,"Feb 9, 1996 ",Spain,ELCHE,out,Centre-Forward,0.35,35,7,3,1296,0,0,1.74,/manu-justo/profil/spieler/593357,"Jul 9, 2019","Jun 30, 2023"
138,Pablo Piatti,33,"Mar 31, 1989",Argentina,ELCHE,out,Left Winger,0.7,33,3,0,1352,0,0,1.63,/pablo-piatti/profil/spieler/56067,"Mar 6, 2021","Jun 30, 2024"
139,José Salinas,21,"Sep 30, 2000",Spain,ELCHE,out,Left-Back,0.7,39,6,4,3373,0,0,1.78,/jose-salinas/profil/spieler/819590,"Jul 1, 2021","Jun 30, 2025"
140,Mourad El Ghezouani,24,"May 27, 1998",Morocco,ELCHE,out,Centre-Forward,0.7,37,10,3,3237,0,0,1.89,/mourad-el-ghezouani/profil/spieler/527972,"Jul 1, 2020","Jun 30, 2025"
141,Lautaro Blanco,23,"Feb 19, 1999",Argentina,ELCHE,out,Left-Back,4.5,40,0,5,3595,0,0,1.76,/lautaro-blanco/profil/spieler/831161,"Aug 5, 2022","Jun 30, 2027"
142,Antonio Barragán,35,"Jun 12, 1987",Spain,ELCHE,out,Right-Back,,19,0,1,1269,0,0,1.86,/antonio-barragan/profil/spieler/32522,"Oct 4, 2020",-
147,Brais Méndez,25,"Jan 7, 1997 ",Spain,CELTA,14.0,Attacking Midfield,30.0,40,5,6,3208,0,0,1.84,/brais-mendez/profil/spieler/309110,"Jul 1, 2018","Jun 30, 2028"
148,Néstor Araújo,30,"Aug 29, 1991",Mexico,CELTA,3.0,Centre-Back,3.0,34,0,0,2617,0,0,1.88,/nestor-araujo/profil/spieler/64134,"Jul 1, 2018","Jun 30, 2025"
149,Okay Yokuslu,28,"Mar 9, 1994 ",Turkey,CELTA,out,Defensive Midfield,3.0,20,0,0,654,0,0,1.91,/okay-yokuslu/profil/spieler/137616,"Jul 1, 2018","Jun 30, 2025"
150,Emre Mor,24,"Jul 24, 1997",Turkey,CELTA,out,Right Winger,3.5,29,6,4,1879,0,0,1.69,/emre-mor/profil/spieler/283223,"Aug 29, 2017","Jun 30, 2023"
151,Orbelín Pineda,26,"Mar 24, 1996",Mexico,CELTA,out,Central Midfield,4.0,20,1,3,1182,0,0,1.69,/orbelin-pineda/profil/spieler/334042,"Jan 7, 2022","Jun 30, 2023"
152,José Fontán,22,"Feb 11, 2000",Spain,CELTA,out,Centre-Back,0.8,12,2,0,491,0,0,1.82,/jose-fontan/profil/spieler/609361,"Jul 27, 2021","Jun 30, 2023"
153,Rubén Blanco,26,"Jul 25, 1995",Spain,CELTA,out,Goalkeeper,3.0,2,0,0,210,1,1,1.88,/ruben-blanco/profil/spieler/199321,"Jul 1, 2014","Jun 30, 2023"
154,Julen Lobete,21,"Sep 18, 2000",Spain,CELTA,out,Centre-Forward,2.3,37,3,1,1753,0,0,1.77,/julen-lobete/profil/spieler/625654,"Jul 26, 2022","Jun 30, 2026"
155,Sergio Carreira,21,"Oct 13, 2000",Spain,CELTA,out,Right-Back,1.5,40,1,3,3194,0,0,1.7,/sergio-carreira/profil/spieler/545647,"Jul 1, 2021","Jun 30, 2025"
156,Santi Mina,26,"Dec 7, 1995 ",Spain,CELTA,out,Centre-Forward,4.0,37,9,5,2679,0,0,1.81,/santi-mina/profil/spieler/255653,"Jul 14, 2019","Jun 30, 2023"
