,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
588,Enzo Le Fée,22,"Feb 3, 2000 ",France,LORIENT,,Attacking Midfield,6.0,38,2,3,2349,0,0,1.7,"Jul 1, 2019","Jun 30, 2024",/enzo-le-fee/profil/spieler/633992
589,Quentin Boisgard,25,"Mar 17, 1997",France,LORIENT,,Attacking Midfield,1.8,26,1,1,1015,0,0,1.74,"Jul 2, 2020","Jun 30, 2023",/quentin-boisgard/profil/spieler/412671
591,Stéphane Diarra,23,"Dec 9, 1998 ",Cote d'Ivoire,LORIENT,,Right Winger,1.5,16,0,1,501,0,0,1.73,"Jul 1, 2020","Jun 30, 2025",/stephane-diarra/profil/spieler/428954
592,Dango Ouattara,20,"Feb 11, 2002",Burkina Faso,LORIENT,,Right Winger,0.9,29,2,2,1138,0,0,1.77,"Jul 1, 2021","Jun 30, 2028",/dango-ouattara/profil/spieler/823231
593,Terem Moffi,23,"May 25, 1999",Nigeria,LORIENT,,Centre-Forward,9.0,38,8,4,2758,0,0,1.88,"Oct 1, 2020","Jun 30, 2023",/terem-moffi/profil/spieler/538874
594,Ibrahima Koné,23,"Jun 16, 1999",Mali,LORIENT,,Centre-Forward,4.5,16,5,1,726,0,0,1.9,"Jan 31, 2022","Jun 30, 2026",/ibrahima-kone/profil/spieler/490223
599,Ouparine Djoco,24,"Apr 22, 1998",France,CLERMONT,,Goalkeeper,1.8,26,0,0,2295,38,6,1.88,"Jul 1, 2018","Jun 30, 2025",/ouparine-djoco/profil/spieler/594993
601,Lucas Margueron,21,"Feb 12, 2001",France,CLERMONT,,Goalkeeper,0.15,17,0,0,1530,30,1,1.94,"Jul 2, 2020","Jun 30, 2023",/lucas-margueron/profil/spieler/618463
603,Alidu Seidu,22,"Jun 4, 2000 ",Ghana,CLERMONT,,Centre-Back,2.0,25,0,1,1769,0,0,1.73,"Jul 1, 2020","Jun 30, 2027",/alidu-seidu/profil/spieler/798404
605,Florent Ogier,33,"Mar 21, 1989",France,CLERMONT,,Centre-Back,0.7,30,1,0,2434,0,0,1.83,"Jul 13, 2018","Jun 30, 2024",/florent-ogier/profil/spieler/91473
