,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
67,Rick van Drongelen,23,"Dec 20, 1998",Netherlands,UNION BERLIN,out,Centre-Back,1.0,10,0,0,492,0,0,1.88,/rick-van-drongelen/profil/spieler/354340,"Jul 1, 2019","Jun 30, 2023"
68,Keita Endo,24,"Nov 22, 1997",Japan,UNION BERLIN,out,Attacking Midfield,0.7,4,0,0,51,0,0,1.75,/keita-endo/profil/spieler/421726,"Jul 1, 2021",-
69,Laurenz Dehl,20,"Dec 12, 2001",Germany,UNION BERLIN,out,Right Midfield,0.2,2,0,0,51,0,0,1.81,/laurenz-dehl/profil/spieler/451403,"Jul 1, 2021","Jun 30, 2023"
70,Nico Schlotterbeck,22,"Dec 1, 1999 ",Germany,FREIBURG,20.0,Centre-Back,33.0,38,4,2,3418,0,0,1.91,/nico-schlotterbeck/profil/spieler/388198,"Jul 1, 2021","Jun 30, 2023"
71,Luca Itter,23,"Jan 5, 1999 ",Germany,FREIBURG,0.3,Left-Back,1.0,25,0,1,1516,0,0,1.83,/luca-itter/profil/spieler/296378,"Jul 1, 2019","Jun 30, 2023"
72,Nishan Burkart,22,"Jan 31, 2000",Switzerland,FREIBURG,0.025,Centre-Forward,0.35,17,2,0,902,0,0,1.75,/nishan-burkart/profil/spieler/346900,"Jul 1, 2019","Jun 30, 2027"
73,Ermedin Demirovic,24,"Mar 25, 1998",Bosnia-Herzegovina,FREIBURG,out,Centre-Forward,9.0,37,3,4,1122,0,0,1.85,/ermedin-demirovic/profil/spieler/335457,"Jul 1, 2019","Jun 30, 2023"
74,Niclas Thiede,23,"Apr 14, 1999",Germany,FREIBURG,out,Goalkeeper,0.275,30,0,0,2687,56,3,1.86,/niclas-thiede/profil/spieler/348778,"Jul 1, 2021","Jun 30, 2023"
75,Janik Haberer,28,"Apr 2, 1994 ",Germany,FREIBURG,out,Central Midfield,5.0,30,3,0,932,0,0,1.86,/janik-haberer/profil/spieler/177779,"Jul 1, 2016","Jun 30, 2025"
76,Anthony Modeste,34,"Apr 14, 1988",France,KÖLN,5.1,Centre-Forward,4.0,35,23,4,2792,0,0,1.88,/anthony-modeste/profil/spieler/50512,"Jul 1, 2019","Jun 30, 2023"
77,Salih Özcan,24,"Jan 11, 1998",Turkey,KÖLN,5.0,Defensive Midfield,17.0,34,2,1,2527,0,0,1.83,/salih-ozcan/profil/spieler/244940,"Aug 5, 2020","Jun 30, 2026"
78,Kingsley Ehizibue,27,"May 25, 1995",Netherlands,KÖLN,1.5,Right-Back,1.3,18,0,1,816,0,0,1.89,/kingsley-ehizibue/profil/spieler/272812,"Nov 17, 2018","Jun 30, 2023"
79,Yann Aurel Bisseck,21,"Nov 29, 2000",Germany,KÖLN,0.67,Centre-Back,1.5,33,1,0,2367,0,0,1.96,/yann-aurel-bisseck/profil/spieler/441986,"Jul 1, 2016","Jun 30, 2026"
80,Louis Schaub,27,"Dec 29, 1994",Austria,KÖLN,out,Attacking Midfield,1.0,30,1,2,733,0,0,1.77,/louis-schaub/profil/spieler/147485,"Jul 1, 2019","Jun 30, 2026"
81,Tomás Ostrák,22,"Feb 5, 2000 ",Czech Republic,KÖLN,out,Attacking Midfield,0.75,20,4,3,845,0,0,1.76,/tomas-ostrak/profil/spieler/428189,"Jul 1, 2018","Jun 30, 2023"
82,Jannes Horn,25,"Feb 6, 1997 ",Germany,KÖLN,out,Left-Back,1.8,15,0,0,758,0,0,1.86,/jannes-horn/profil/spieler/231586,"Jul 1, 2018","Jun 30, 2025"
83,Niklas Hauptmann,26,"Jun 27, 1996",Germany,KÖLN,out,Central Midfield,0.35,4,0,0,300,0,0,1.76,/niklas-hauptmann/profil/spieler/205544,"Jul 1, 2019","Dec 31, 2025"
