,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
466,Simone Giordano,20,"Dec 21, 2001",Italy,SAMPDORIA,out,Left-Back,0.4,35,1,7,2465,0,0,-,/simone-giordano/profil/spieler/480046,"Jun 30, 2022","Jun 30, 2026"
467,Fabio Depaoli,25,"Apr 24, 1997",Italy,SAMPDORIA,out,Right-Back,3.0,26,1,2,901,0,0,1.82,/fabio-depaoli/profil/spieler/324282,"Jul 1, 2019","Jun 30, 2023"
468,Maxime Leverbe,25,"Feb 15, 1997",France,SAMPDORIA,out,Centre-Back,1.8,42,0,1,3739,0,0,1.88,/maxime-leverbe/profil/spieler/451310,"Jul 1, 2017","Jun 30, 2023"
470,Nicolò Francofonte,21,"Jan 31, 2001",Italy,SAMPDORIA,out,Central Midfield,0.075,16,0,1,563,0,0,1.83,/nicolo-francofonte/profil/spieler/419890,"Jun 30, 2022","Jun 30, 2023"
471,Sebastian Giovinco,35,"Jan 26, 1987",Italy,SAMPDORIA,out,Second Striker,,2,0,0,37,0,0,1.64,/sebastian-giovinco/profil/spieler/52312,"Feb 9, 2022",-
477,Janis Antiste,20,"Aug 18, 2002",France,SPEZIA,5.1,Centre-Forward,4.0,22,1,0,966,0,0,1.83,/janis-antiste/profil/spieler/538974,"Aug 25, 2021","Jun 30, 2023"
478,Giulio Maggiore,24,"Mar 12, 1998",Italy,SPEZIA,4.5,Central Midfield,7.5,36,2,4,2923,0,0,1.84,/giulio-maggiore/profil/spieler/353796,"Jul 1, 2016","Jun 30, 2026"
479,Ivan Provedel,28,"Mar 17, 1994",Italy,SPEZIA,2.0,Goalkeeper,7.0,31,0,0,2762,52,7,1.94,/ivan-provedel/profil/spieler/197929,"Oct 5, 2020","Jun 30, 2027"
480,Léo Sena,26,"Dec 31, 1995",Brazil,SPEZIA,out,Defensive Midfield,1.2,0,0,0,0,0,0,1.75,/leo-sena/profil/spieler/435213,"Jul 1, 2021",-
481,Matteo Figoli,21,"Dec 17, 2000",Italy,SPEZIA,out,Central Midfield,0.125,31,4,2,2045,0,0,1.8,/matteo-figoli/profil/spieler/457420,"Jul 1, 2018","Jun 30, 2023"
482,Kleis Bozhanaj,21,"Mar 1, 2001 ",Albania,SPEZIA,out,Attacking Midfield,0.1,3,0,0,33,0,0,1.8,/kleis-bozhanaj/profil/spieler/221421,"Aug 30, 2021","Jun 30, 2024"
483,Nicolò Bertola,19,"Mar 23, 2003",Italy,SPEZIA,out,Centre-Back,0.2,11,1,0,842,0,0,1.92,/nicolo-bertola/profil/spieler/632831,"Jul 1, 2021","Jun 30, 2023"
484,Laurens Serpe,21,"Feb 7, 2001 ",Italy,SPEZIA,out,Centre-Back,0.15,2,0,0,44,0,0,1.93,/laurens-serpe/profil/spieler/500164,"Jul 8, 2022","Jun 30, 2026"
485,Ognjen Stijepovic,22,"Oct 22, 1999",Montenegro,SPEZIA,out,Second Striker,0.075,17,1,0,462,0,0,1.85,/ognjen-stijepovic/profil/spieler/399907,"Aug 20, 2021","Jun 30, 2024"
486,Elio Capradossi,26,"Mar 11, 1996",Italy,SPEZIA,out,Centre-Back,1.0,32,2,0,2832,0,0,1.85,/elio-capradossi/profil/spieler/238947,"Jul 19, 2018","Jun 30, 2023"
487,Luca Vignali,26,"Jan 11, 1996",Italy,SPEZIA,out,Right-Back,1.0,34,3,4,2754,0,0,1.86,/luca-vignali/profil/spieler/287367,"Jul 1, 2015","Jun 30, 2025"
488,Lorenzo Colombini,21,"Jan 17, 2001",Italy,SPEZIA,out,Left-Back,0.2,27,0,0,1498,0,0,1.81,/lorenzo-colombini/profil/spieler/426244,"Sep 1, 2020","Jun 30, 2023"
489,Emil Kornvig,22,"Apr 28, 2000",Denmark,SPEZIA,out,Central Midfield,0.5,31,2,0,2030,0,0,1.87,/emil-kornvig/profil/spieler/455068,"Jul 23, 2021","Jun 30, 2026"
490,Suf Podgoreanu,20,"Jan 20, 2002",Israel,SPEZIA,out,Right Winger,0.5,5,0,1,110,0,0,1.93,/suf-podgoreanu/profil/spieler/540827,"Aug 11, 2021","Jun 30, 2023"
492,Samuel Mraz,25,"May 13, 1997",Slovakia,SPEZIA,out,Centre-Forward,0.6,32,10,1,1509,0,0,1.83,/samuel-mraz/profil/spieler/243225,"Aug 9, 2021","Jun 30, 2023"
500,Éderson,22,"Jul 7, 1999 ",Brazil,SALERNITANA,21.4,Central Midfield,20.0,15,2,1,1151,0,0,1.83,/ederson/profil/spieler/607854,"Jan 30, 2022","Jun 30, 2026"
502,Joel Obi,31,"May 22, 1991",Nigeria,SALERNITANA,out,Central Midfield,0.4,23,0,1,1226,0,0,1.78,/joel-obi/profil/spieler/45581,"Jul 21, 2021","Jun 30, 2023"
503,Stefan Strandberg,32,"Jul 25, 1990",Norway,SALERNITANA,out,Centre-Back,0.5,18,1,1,1531,0,0,1.89,/stefan-strandberg/profil/spieler/50617,"Jul 23, 2021","Jun 30, 2023"
504,Gaetano Vitale,20,"Aug 4, 2001 ",Italy,SALERNITANA,out,Central Midfield,0.2,32,1,2,2373,0,0,1.81,/gaetano-vitale/profil/spieler/615180,"Sep 28, 2020","Jun 30, 2023"
505,Clemente Crisci,20,"Jun 27, 2002",Italy,SALERNITANA,out,Central Midfield,,6,2,0,245,0,0,-,/clemente-crisci/profil/spieler/805338,"Jun 30, 2021","Jun 30, 2023"
506,Andrea Schiavone,29,"Feb 25, 1993",Italy,SALERNITANA,out,Defensive Midfield,0.4,15,1,0,630,0,0,1.76,/andrea-schiavone/profil/spieler/136133,"Sep 23, 2020","Jun 30, 2023"
507,Filippo D'Andrea,23,"Sep 25, 1998",Italy,SALERNITANA,out,Centre-Forward,0.25,35,6,3,2202,0,0,1.8,/filippo-dandrea/profil/spieler/459892,"Sep 23, 2020","Jun 30, 2023"
508,Wajdi Kechrida,26,"Nov 5, 1995 ",Tunisia,SALERNITANA,out,Right-Back,0.8,19,0,2,1128,0,0,1.84,/wajdi-kechrida/profil/spieler/407885,"Jul 31, 2021","Jun 30, 2023"
509,Milan Djuric,32,"May 22, 1990",Bosnia-Herzegovina,SALERNITANA,out,Centre-Forward,1.0,35,5,5,2335,0,0,1.99,/milan-djuric/profil/spieler/67556,"Aug 9, 2018","Jun 30, 2023"
510,Pawel Jaroszynski,27,"Oct 2, 1994 ",Poland,SALERNITANA,out,Left Midfield,0.6,14,0,0,599,0,0,1.84,/pawel-jaroszynski/profil/spieler/287600,"Aug 7, 2019","Jun 30, 2024"
511,Vid Belec,32,"Jun 6, 1990 ",Slovenia,SALERNITANA,out,Goalkeeper,0.5,24,0,0,2026,49,4,1.92,/vid-belec/profil/spieler/73090,"Sep 25, 2020","Jun 30, 2023"
