,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
163,Mathis Bruns,18,"Mar 31, 2004",Germany,UNION BERLIN,,Centre-Back,0.2,12,0,0,1008,0,0,1.92,-,"Jun 30, 2023",/mathis-bruns/profil/spieler/699702
165,Niko Gießelmann,30,"Sep 26, 1991",Germany,UNION BERLIN,,Left-Back,2.3,37,3,7,2538,0,0,1.82,"Jul 15, 2020","Jun 30, 2023",/niko-giesselmann/profil/spieler/72792
167,Julian Ryerson,24,"Nov 17, 1997",Norway,UNION BERLIN,,Right-Back,4.0,36,3,0,1646,0,0,1.83,"Jul 31, 2018","Jun 30, 2026",/julian-ryerson/profil/spieler/370789
168,Christopher Trimmel,35,"Feb 24, 1987",Austria,UNION BERLIN,,Right-Back,0.9,37,3,3,2972,0,0,1.89,"Jul 1, 2014","Jun 30, 2024",/christopher-trimmel/profil/spieler/75921
169,Rani Khedira,28,"Jan 27, 1994",Germany,UNION BERLIN,,Defensive Midfield,6.0,45,0,1,3835,0,0,1.89,"Jul 1, 2021","Jun 30, 2023",/rani-khedira/profil/spieler/124410
170,Robert Andrich,27,"Sep 22, 1994",Germany,UNION BERLIN,,Central Midfield,13.0,33,7,3,2325,0,0,1.87,"Jul 1, 2019","Jun 30, 2026",/robert-andrich/profil/spieler/159088
172,András Schäfer,23,"Apr 13, 1999",Hungary,UNION BERLIN,,Central Midfield,2.0,29,4,4,2025,0,0,1.78,"Jan 21, 2022",-,/andras-schafer/profil/spieler/454863
173,Levin Öztunali,26,"Mar 15, 1996",Germany,UNION BERLIN,,Central Midfield,1.5,24,0,1,873,0,0,1.84,"Jul 1, 2021",-,/levin-oztunali/profil/spieler/168543
174,Kevin Möhwald,28,"Jul 3, 1993 ",Germany,UNION BERLIN,,Central Midfield,1.5,22,0,0,584,0,0,1.82,"Aug 30, 2021",-,/kevin-mohwald/profil/spieler/94137
176,Maximilian Somnitz,19,"Jun 9, 2003 ",Germany,UNION BERLIN,,Central Midfield,0.2,18,4,1,1471,0,0,1.89,-,"Jun 30, 2024",/maximilian-somnitz/profil/spieler/692713
179,Genki Haraguchi,31,"May 9, 1991 ",Japan,UNION BERLIN,,Attacking Midfield,2.5,42,2,6,2511,0,0,1.78,"Jul 1, 2021","Jun 30, 2024",/genki-haraguchi/profil/spieler/79377
181,Sheraldo Becker,27,"Feb 9, 1995 ",Suriname,UNION BERLIN,,Second Striker,7.0,40,6,9,2407,0,0,1.8,"Jul 1, 2019","Jun 30, 2025",/sheraldo-becker/profil/spieler/188888
186,Sven Michel,31,"Jul 15, 1990",Germany,UNION BERLIN,,Centre-Forward,1.2,35,18,9,2082,0,0,1.77,"Jan 31, 2022","Jun 30, 2024",/sven-michel/profil/spieler/186988
